"Timestamp","1. What is your musical taste? Select any genre  that you enjoy. Pick as many as you like.","2. How do you listen to music?","3. What is your film taste? Select any movie that you enjoyed watching. Pick as many as you like.","4. What is your TV show taste? Select any TV series that you enjoyed watching. Pick as many as you like.","5. What are your TV viewing habits?","6. Which of the following social media apps do you regularly use?  Pick as many as you like.","7. How many hours a week do you spend on your smart phone?","8. What is your preferred payment method in shops for amounts less than £20?","9. How old are you?"
"2019/06/20 9:20:24 PM GMT+1","Pop;Hip-hop/Rap","I mostly use Spotify or another music streaming service","Toy Story series;2001 Space Odyssey","Only Fools and Horses;Doctor Who;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","WhatsApp;Instagram;Snapchat","Between 10 and 20 hours","I mostly use Apple Pay or Android Pay or Samsung Pay","17"
"2019/06/20 9:20:39 PM GMT+1","Classical;Electronic","I mostly use YouTube or other websites","Toy Story series","Only Fools and Horses;The Inbetweeners","I mostly watch live TV (eg news or sports)","WhatsApp","Between 5 and 10 hours","I mostly use cards","56"
"2019/06/20 9:20:52 PM GMT+1","Pop;Electronic;Hip-hop/Rap","I mostly use Spotify or another music streaming service","Star Wars series;Toy Story series","Friends;Game of Thrones","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;WhatsApp;Instagram","More than 30 hours","I mostly use Apple Pay or Android Pay or Samsung Pay","16"
"2019/06/20 9:22:23 PM GMT+1","Classical;Rock;Pop","I mostly  listen to CDs","It's a Wonderful Life;Love Actually","None of the above tv shows","I don't really watch TV programs","WhatsApp","Less than 5 hours","I mostly use cards","54"
"2019/06/20 9:22:26 PM GMT+1","Rock;Pop;Hip-hop/Rap","I mostly use Spotify or another music streaming service","Star Wars series;Harry Potter series;Love Actually;Back to the Future","The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","WhatsApp;Instagram;Pinterest;Snapchat","More than 30 hours","I mostly use cards","17"
"2019/06/20 9:23:10 PM GMT+1","Classical;Pop;Indie;Hip-hop/Rap","I mostly use YouTube or other websites","Harry Potter series","Friends;Only Fools and Horses;Game of Thrones;The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","WhatsApp;Instagram","Between 20 and 30 hours","I mostly use cards","17"
"2019/06/20 9:28:06 PM GMT+1","Classical;Rock;Country;Pop;Indie","I mostly listen to the radio","It's a Wonderful Life;Star Wars series;Love Actually;Casablanca;Toy Story series;Apocalypse Now","Friends;Gavin and Stacey","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","WhatsApp;LinkedIn","Less than 5 hours","I mostly use cards","72"
"2019/06/20 9:28:15 PM GMT+1","Pop;Indie;Hip-hop/Rap","I mostly  listen to CDs","Star Wars series;Harry Potter series;Back to the Future","Friends;Doctor Who","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Twitter;WhatsApp;Instagram;Pinterest;Snapchat","Between 10 and 20 hours","I mostly use cash","17"
"2019/06/20 9:29:20 PM GMT+1","Classical;Rock;Country;Pop","I mostly use Spotify or another music streaming service","Harry Potter series;Toy Story series;2001 Space Odyssey;Apocalypse Now","None of the above tv shows","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;WhatsApp;LinkedIn","Less than 5 hours","I mostly use cards","56"
"2019/06/20 9:31:11 PM GMT+1","Classical;Rock;Indie;Electronic","I mostly use Spotify or another music streaming service","Star Wars series;Harry Potter series;Toy Story series","The Inbetweeners","I mostly watch live TV (eg news or sports)","WhatsApp;Instagram;Snapchat","Between 5 and 10 hours","I mostly use cards","17"
"2019/06/20 9:34:15 PM GMT+1","Rock;Country;Indie;Hip-hop/Rap","I mostly use Spotify or another music streaming service","Star Wars series;Love Actually;Toy Story series;2001 Space Odyssey;Back to the Future","Friends;Doctor Who;Gavin and Stacey;The Inbetweeners","I don't really watch TV programs","Facebook;Twitter;Instagram;Pinterest;Snapchat","Between 10 and 20 hours","I mostly use cards","17"
"2019/06/20 9:44:05 PM GMT+1","Classical;Rock;Pop;Indie;Electronic","I mostly use Spotify or another music streaming service","It's a Wonderful Life;Harry Potter series;Love Actually;Casablanca;Toy Story series;2001 Space Odyssey;Back to the Future;Apocalypse Now","Friends;Doctor Who;Gavin and Stacey;The Thick of It","I mostly watch recorded programs on my TV","Facebook;Twitter;WhatsApp;Instagram","Between 20 and 30 hours","I mostly use cards","57"
"2019/06/20 9:49:31 PM GMT+1","Classical;Rock;Indie;Electronic","I mostly  listen to CDs","Star Wars series;Harry Potter series;Casablanca;Toy Story series;2001 Space Odyssey;Back to the Future;Apocalypse Now","Doctor Who;Gavin and Stacey;The Thick of It","I mostly watch live TV (eg news or sports)","Facebook;WhatsApp;LinkedIn","Between 10 and 20 hours","I mostly use cards","58"
"2019/06/20 9:54:32 PM GMT+1","Pop;Indie","I mostly use Spotify or another music streaming service","Love Actually","None of the above tv shows","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Facebook;Twitter;WhatsApp;Instagram;Snapchat","Between 20 and 30 hours","I mostly use cards","44"
"2019/06/20 9:57:50 PM GMT+1","Classical;Pop;Indie","I mostly use YouTube or other websites","Harry Potter series;Love Actually;Back to the Future","Only Fools and Horses","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Twitter;WhatsApp","Between 10 and 20 hours","I mostly use cards","14"
"2019/06/20 9:58:32 PM GMT+1","Pop;Indie;Hip-hop/Rap","I mostly use Spotify or another music streaming service","Star Wars series;Harry Potter series;Toy Story series","Doctor Who;Downtown Abbey;The Thick of It","I mostly watch recorded programs on my TV","Twitter;WhatsApp","More than 30 hours","I mostly use cash","17"
"2019/06/20 10:03:41 PM GMT+1","Rock;Country;Pop;Indie","I mostly listen to the radio","It's a Wonderful Life;Star Wars series;Harry Potter series;Love Actually;Toy Story series;Back to the Future","Friends;Only Fools and Horses;Doctor Who;Downtown Abbey;Gavin and Stacey;The Inbetweeners","I mostly watch recorded programs on my TV","Facebook;Twitter;WhatsApp;LinkedIn","Between 20 and 30 hours","I mostly use cards","49"
"2019/06/20 10:04:02 PM GMT+1","Pop;Indie","I mostly use Spotify or another music streaming service","Love Actually","The Inbetweeners","I mostly watch TV series online (computer, tablet, iPad, phone, etc.)","Instagram;Snapchat","Between 20 and 30 hours","I mostly use cards","18"
"2019/06/20 10:04:08 PM GMT+1","Rock;Pop","I mostly use Spotify or another music streaming service","Star Wars series;Harry Potter series;Toy Story series;Back to the Future","Friends;Game of Thrones;The Inbetweeners","I mostly watch live TV (eg news or sports)","WhatsApp;Instagram","More than 30 hours","I mostly use cards","17"
